title,summary,link,published,source
Teen Innovator Soars to New Heights: Mehar Singh Breaks Guinness World Record with Lightning-Fast Drone Ascent,"<a href=""https://timesofindia.indiatimes.com/gadgets-news/teen-innovator-soars-to-new-heights-mehar-singh-breaks-guinness-world-record-with-lightning-fast-drone-ascent/articleshow/112866457.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/112866457.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>",https://timesofindia.indiatimes.com/gadgets-news/teen-innovator-soars-to-new-heights-mehar-singh-breaks-guinness-world-record-with-lightning-fast-drone-ascent/articleshow/112866457.cms,2024-08-28 16:35:03+05:30,https://timesofindia.indiatimes.com/rssfeeds/66949542.cms
How do graphic designers convert JPG to PDF (Portable Document Format)?,"<a href=""https://timesofindia.indiatimes.com/gadgets-news/how-do-graphic-designers-convert-jpg-to-pdf-portable-document-format/articleshow/110598784.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/110598784.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>",https://timesofindia.indiatimes.com/gadgets-news/how-do-graphic-designers-convert-jpg-to-pdf-portable-document-format/articleshow/110598784.cms,2024-05-31 18:45:05+05:30,https://timesofindia.indiatimes.com/rssfeeds/66949542.cms
Samsung Galaxy A55 vs Vivo V30 Pro: How the two affordable premium Android phones compare,"<a href=""https://timesofindia.indiatimes.com/gadgets-news/samsung-galaxy-a55-vs-vivo-v30-pro-how-the-two-affordable-premium-android-phones-compare/articleshow/108555889.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/108555889.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Samsung Galaxy A55 offers 12GB RAM, 50MP camera, 25W charging at Rs 39,999. Vivo V30 Pro, Rs 41,999, features 12GB RAM, AMOLED display, MediaTek Dimensity 8200, 80W charging. V30 Pro has IP67, 256GB storage.",https://timesofindia.indiatimes.com/gadgets-news/samsung-galaxy-a55-vs-vivo-v30-pro-how-the-two-affordable-premium-android-phones-compare/articleshow/108555889.cms,2024-03-17 15:40:35+05:30,https://timesofindia.indiatimes.com/rssfeeds/66949542.cms
iQoo Z9 Turbo new leak reveals key specifications: All the details,"<a href=""https://timesofindia.indiatimes.com/gadgets-news/iqoo-z9-turbo-new-leak-reveals-key-specifications-all-the-details/articleshow/108560666.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/108560666.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>iQoo set to launch Z9 Turbo with 1.5K display, Snapdragon 8s Gen 3 chipset, 6000mAh battery, 144Hz refresh rate, 50MP dual camera, 80W fast charging at Rs 19,999.",https://timesofindia.indiatimes.com/gadgets-news/iqoo-z9-turbo-new-leak-reveals-key-specifications-all-the-details/articleshow/108560666.cms,2024-03-17 13:12:39+05:30,https://timesofindia.indiatimes.com/rssfeeds/66949542.cms
"Samsung Galaxy A35 5G, Galaxy A55 5G price revealed","<a href=""https://timesofindia.indiatimes.com/gadgets-news/samsung-galaxy-a35-5g-galaxy-a55-5g-india-price-revealed/articleshow/108482530.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/108482530.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>",https://timesofindia.indiatimes.com/gadgets-news/samsung-galaxy-a35-5g-galaxy-a55-5g-india-price-revealed/articleshow/108482530.cms,2024-03-14 10:33:47+05:30,https://timesofindia.indiatimes.com/rssfeeds/66949542.cms
Government issues warning for these Android smartphone and tablet users,"<a href=""https://timesofindia.indiatimes.com/gadgets-news/government-issues-warning-for-these-android-smartphone-and-tablet-users/articleshow/108471249.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/108471249.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>The Indian CERT-In warns Android users of 'High' severity security flaws in multiple versions of the operating system, including vulnerabilities that could lead to obtaining sensitive information, gaining elevated privileges, executing arbitrary code, and causing denial of service conditions.",https://timesofindia.indiatimes.com/gadgets-news/government-issues-warning-for-these-android-smartphone-and-tablet-users/articleshow/108471249.cms,2024-03-13 21:06:41+05:30,https://timesofindia.indiatimes.com/rssfeeds/66949542.cms
You can now watch Ayodhya Ram Mandir morning Aarti live daily,"<a href=""https://timesofindia.indiatimes.com/gadgets-news/you-can-now-watch-ayodhya-ram-mandir-morning-aarti-live-daily/articleshow/108461881.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/108461881.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Doordarshan will telecast live the Mangala, Shringaar, Rajbhog, Sandhya, and Shayan Aartis offered to the Ram Lalla idol at the Ayodhya Ram temple on DD National, connecting devotees who can't visit the temple.",https://timesofindia.indiatimes.com/gadgets-news/you-can-now-watch-ayodhya-ram-mandir-morning-aarti-live-daily/articleshow/108461881.cms,2024-03-13 17:12:28+05:30,https://timesofindia.indiatimes.com/rssfeeds/66949542.cms
"ChatGPT was down globally, here’s what the company has to say","<a href=""https://timesofindia.indiatimes.com/gadgets-news/chatgpt-was-down-globally-heres-what-the-company-has-to-say/articleshow/108443030.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/108443030.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>ChatGPT experienced an outage, with 91% of users facing issues. OpenAI acknowledged the problem, and the service is now back online with performance back to normal. The TOI Tech team verified the restoration on the website and mobile app.",https://timesofindia.indiatimes.com/gadgets-news/chatgpt-was-down-globally-heres-what-the-company-has-to-say/articleshow/108443030.cms,2024-03-12 23:50:42+05:30,https://timesofindia.indiatimes.com/rssfeeds/66949542.cms
Microsoft plans to take on iPhone and Android smartphones with this new device,"<a href=""https://timesofindia.indiatimes.com/gadgets-news/microsoft-plans-to-take-on-iphone-and-android-smartphones-with-this-new-device/articleshow/108439136.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/108439136.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Microsoft discontinues Surface Duo smartphones but files a patent for a new foldable device with a single hinge system called 'spine cover plate'. The design aims to eliminate the hinge crease and reduce the device's thickness while offering added benefits and durability. However, its practicality remains uncertain.",https://timesofindia.indiatimes.com/gadgets-news/microsoft-plans-to-take-on-iphone-and-android-smartphones-with-this-new-device/articleshow/108439136.cms,2024-03-12 19:08:13+05:30,https://timesofindia.indiatimes.com/rssfeeds/66949542.cms
"Twitter bans over 5 lakh accounts in India, here's why","<a href=""https://timesofindia.indiatimes.com/gadgets-news/twitter-bans-over-5-lakh-accounts-in-india-heres-why/articleshow/108438736.cms""><img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/108438736.cms"" style=""margin-top: 3px; margin-right: 5px;"" /></a>Elon Musk's X platform banned over 5 lakh Indian accounts for violating policies, including promoting terrorism and child sexual exploitation. Users should avoid violating policies to prevent account suspension.",https://timesofindia.indiatimes.com/gadgets-news/twitter-bans-over-5-lakh-accounts-in-india-heres-why/articleshow/108438736.cms,2024-03-12 19:02:51+05:30,https://timesofindia.indiatimes.com/rssfeeds/66949542.cms
